ranks,school,g,pace,ortg,efg,tov,orb,ft_fga
1,Abilene Christian,36,71.9,105.2,0.496,15.1,29.1,0.288
2,Air Force,29,63.4,93.1,0.509,19.6,19.6,0.174
3,Akron ,34,64.1,109.8,0.533,15.4,30.6,0.268
4,Alabama A&M,30,68.3,88.5,0.412,16.8,28.7,0.239
5,UAB ,35,70.4,112.9,0.53,13.8,33.7,0.21
6,Alabama State,31,71.4,96.7,0.481,18.7,29.7,0.264
7,Alabama ,33,73.2,108.1,0.513,16.7,35.3,0.239
8,Albany (NY),31,65.8,93.6,0.462,16.4,26.1,0.176
9,Alcorn State,34,68.9,95.8,0.458,17.3,31.9,0.224
10,American,32,66.8,94.2,0.496,18,21.6,0.177
11,Appalachian State,34,65.5,102,0.49,13.6,27.3,0.18
12,Arizona State,31,67.9,94.7,0.471,15.2,24.9,0.14
13,Arizona ,37,72.7,114.7,0.556,15.8,34.6,0.258
14,Little Rock,28,68,96.3,0.485,17.8,24.6,0.239
15,Arkansas-Pine Bluff,31,69.3,95.3,0.47,16.8,24.6,0.247
16,Arkansas State,29,69.5,101.5,0.498,17.4,29.8,0.247
17,Arkansas ,36,72,105,0.486,14.6,29.6,0.285
18,Army,31,69.9,99.9,0.494,16.2,30,0.199
19,Auburn ,34,71.3,108.1,0.499,14.2,33.6,0.231
20,Austin Peay,29,66.1,96.5,0.478,18,29.5,0.188
21,Ball State,31,71.6,103.4,0.516,17.1,27.1,0.26
22,Baylor ,34,68.6,111.4,0.528,15.1,36.3,0.202
23,Bellarmine,33,63.8,109.5,0.545,13.3,23.7,0.163
24,Belmont,33,70.3,110.5,0.56,15,24.6,0.197
25,Bethune-Cookman,30,67.4,93.3,0.459,17.1,28.4,0.198
26,Binghamton,29,67.3,100.1,0.504,16.3,27.2,0.152
27,Boise State ,35,64.9,104.1,0.512,15.9,30.6,0.227
28,Boston College,33,65.5,100.7,0.478,15.4,30,0.208
29,Boston University,35,65.3,106.9,0.521,15.9,31.1,0.214
30,Bowling Green State,31,74.4,107.1,0.498,14.1,30.7,0.233
31,Bradley,31,68.1,103.2,0.511,17.1,32.1,0.192
32,Brigham Young,35,69.1,106.7,0.524,15.7,30.8,0.19
33,Brown,29,69.7,101.8,0.497,16.4,29.4,0.218
34,Bryant ,32,73,106.1,0.502,16.1,33.1,0.236
35,Bucknell,32,68.3,101.8,0.528,17.5,21.4,0.217
36,Buffalo,30,72.5,110.3,0.52,15.3,37.2,0.184
37,Butler,33,64.9,97.2,0.48,16.1,26.7,0.211
38,Cal Poly,28,65.5,92.5,0.46,19.5,27.9,0.268
39,Cal State Bakersfield,28,65.6,98.9,0.456,15.1,33.6,0.214
40,Cal State Fullerton ,32,67.2,104.1,0.494,15.7,29.7,0.269
41,Cal State Northridge,30,65.7,92.5,0.448,16.1,27,0.2
42,California Baptist,34,69.3,101.6,0.509,17.5,28.7,0.246
43,UC Davis,24,67.9,99.3,0.493,16.2,26,0.205
44,UC Irvine,25,66.1,100.3,0.488,17.7,30.7,0.227
45,UC Riverside,28,66.1,99.5,0.507,16.5,24.1,0.193
46,UC San Diego,29,68.5,102,0.528,16.7,18.5,0.24
47,UC Santa Barbara,28,67,107.8,0.544,17.1,29.3,0.265
48,California,32,64.9,96.4,0.469,15.1,25.3,0.184
49,Campbell,29,63.9,102.7,0.519,14.6,22.2,0.187
50,Canisius,32,69.6,97.6,0.461,14.6,28.5,0.207
51,Central Arkansas,31,73,99.4,0.493,16.3,27.4,0.172
52,Central Connecticut State,32,66.2,92.2,0.46,18.1,26.3,0.206
53,Central Florida,30,68.1,102.2,0.499,16.5,30.8,0.201
54,Central Michigan,30,68.8,95.4,0.478,17.3,25.3,0.211
55,Charleston Southern,31,71.3,95.6,0.478,17.8,27.6,0.206
56,Charlotte,31,66.7,105.1,0.529,15.6,22.6,0.221
57,Chattanooga ,35,66,111.6,0.531,14.2,32.7,0.198
58,Chicago State,32,66.7,93,0.459,18.8,32.2,0.192
59,Cincinnati,33,68.6,101.2,0.47,13.1,29.9,0.198
60,The Citadel,31,71,106,0.533,14.9,25.4,0.198
61,Clemson,33,66.6,106.8,0.524,14.6,25.8,0.219
62,Cleveland State,31,68.7,107.5,0.534,16.7,33.8,0.243
63,Coastal Carolina,31,67.7,106.9,0.514,16.5,34.9,0.217
64,Colgate ,35,67.6,111.4,0.559,14.8,26.6,0.182
65,College of Charleston,32,74.3,104.5,0.503,17.6,35.9,0.222
66,Colorado State ,31,66,110.4,0.551,13.8,22.1,0.229
67,Colorado,33,68.4,103.2,0.504,17.2,30,0.262
68,Columbia,26,71,94.5,0.49,18.7,27.3,0.165
69,Connecticut ,33,66.8,109.8,0.496,14.4,37.7,0.23
70,Coppin State,32,74.4,90,0.46,17.6,20.1,0.237
71,Cornell,26,73.5,107.2,0.546,17,28,0.215
72,Creighton ,35,68.1,100.5,0.506,17.9,28.4,0.197
73,Dartmouth,25,66.8,100.8,0.493,15,23.9,0.186
74,Davidson ,34,66.1,113.8,0.561,13.3,23.8,0.238
75,Dayton,35,64.4,107.1,0.539,16.7,30.1,0.208
76,Delaware State,28,71,88,0.458,21.4,27.4,0.205
77,Delaware ,35,68,107.2,0.536,16.3,26.9,0.252
78,Denver,32,68.5,101.7,0.526,16.9,23.2,0.222
79,DePaul,31,70.4,103.7,0.488,14.8,31.7,0.232
80,Detroit Mercy,30,65.8,107.6,0.53,15.5,27.9,0.178
81,Dixie State,31,73.9,97.7,0.485,17.7,28.3,0.235
82,Drake,36,66.4,109,0.52,13.9,29.5,0.211
83,Drexel,29,68,106.1,0.525,14.1,25.3,0.18
84,Duke ,37,68.1,117.4,0.559,13.1,31.7,0.211
85,Duquesne,30,66.9,95.9,0.454,14.5,29.3,0.155
86,East Carolina,30,68.9,99,0.471,16.3,27.5,0.253
87,East Tennessee State,32,66.6,107.9,0.517,14.5,31.3,0.166
88,Eastern Illinois,31,66.6,84.6,0.457,21.6,21.7,0.201
89,Eastern Kentucky,31,73,106.5,0.503,13.3,29.7,0.151
90,Eastern Michigan,31,70.7,95.5,0.485,17.1,23,0.211
91,Eastern Washington,34,71.6,106.5,0.528,16.3,26.7,0.251
92,Elon,32,67.3,99.8,0.501,17.1,25.8,0.19
93,Evansville,30,64.2,90.3,0.475,16,14.3,0.172
94,Fairfield,33,65.5,102.5,0.5,14.6,27.8,0.184
95,Fairleigh Dickinson,26,70.4,94.6,0.464,16.9,27.7,0.197
96,Florida A&M,30,67.3,95.9,0.468,16.2,26.2,0.204
97,Florida Atlantic,34,68.7,107.4,0.527,16.1,31.5,0.203
98,Florida Gulf Coast,34,70.3,108.1,0.537,16.2,31.1,0.195
99,Florida International,32,69,100.6,0.511,17.4,27,0.174
100,Florida State,31,68.6,102.7,0.49,15.5,31.6,0.214
101,Florida,34,66.8,104.9,0.496,15.8,31.5,0.248
102,Fordham,32,68.6,94.8,0.457,16.5,27,0.216
103,Fresno State,34,62.3,103.5,0.505,15.5,27.9,0.228
104,Furman,34,66.1,115,0.562,13.7,27.7,0.171
105,Gardner-Webb,31,69.7,99.7,0.509,17.2,25.3,0.201
106,George Mason,30,66.6,104,0.529,16.1,25,0.202
107,George Washington,30,69.7,96.9,0.489,16,23.2,0.181
108,Georgetown,31,71,99.5,0.462,15.9,32.3,0.216
109,Georgia Southern,29,67.1,98.2,0.5,18.5,28.6,0.206
110,Georgia State ,29,68.6,101.7,0.461,14.1,33.9,0.213
